Date,Vendor,Category,Amount (SAR),VAT (15%),Notes
2025-11-22,HungerStation * BurgerKi,Meals,44.04,5.74,Client snack
2025-11-23,Careem * Ride,Transport,97.28,12.69,Careem to office
2025-11-23,Saudi Airlines,Travel,648.55,84.59,Bus fare
2025-11-24,Saudi Airlines,Travel,1439.54,187.77,Bus fare
2025-11-24,Dunkin Donuts,Meals,76.11,9.93,Team dinner
2025-11-25,Uber * Trip 111B,Transport,41.21,5.38,Ride to airport
2025-11-25,STC Pay * Recharge,Utilities,76.3,9.95,Mobile bill
2025-11-26,Jarir Bookstore,Office Supplies,265.12,34.58,Stationery
2025-11-26,Dunkin Donuts,Meals,48.83,6.37,Team dinner
2025-11-27,Flynas XY123,Travel,1127.4,147.05,Flight booking
2025-11-27,Uber * Trip 999A,Transport,22.55,2.94,Taxi to meeting
2025-11-28,Uber,Transport,47.31,6.17,Careem to office
2025-11-28,Starbucks,Meals,77.82,10.15,Coffee
2025-11-29,Unknown Vendor,Misc,28.54,3.72,Sundry
2025-11-29,Panda Supermarket,Office Supplies,288.91,37.68,Ink cartridges
2025-11-30,STC Pay * Recharge,Utilities,83.88,10.94,Electricity
2025-11-30,Uber,Transport,110.63,14.43,Ride to airport
2025-12-01,Flynas,Travel,1225.17,159.8,Train ticket
2025-12-01,Dominos Pizza,Meals,37.16,4.85,Team dinner
2025-12-02,Starbucks,Meals,32.6,4.25,Team dinner
2025-12-02,Dunkin Donuts,Meals,19.84,2.59,Team dinner
2025-12-03,Starbucks Coffee,Meals,39.92,5.21,Lunch
2025-12-03,Unknown Vendor,Misc,37.65,4.91,Sundry
2025-12-04,Hilton Riyadh Hotel,Travel,1316.12,171.67,Flight booking
2025-12-04,Starbucks Coffee,Meals,30.44,3.97,Client snack
2025-12-05,STC Pay * Recharge,Utilities,122.85,16.02,Mobile bill
2025-12-05,Flynas XY123,Travel,778.21,101.51,Hotel stay
2025-12-06,Careem * Ride,Transport,35.74,4.66,Careem to office
2025-12-06,Costa Coffee,Meals,62.01,8.09,Coffee
2025-12-07,McDonalds,Meals,36.65,4.78,Team dinner
2025-12-07,Extra Stores,Office Supplies,231.44,30.19,Office equipment
2025-12-08,STC Pay * Recharge,Utilities,109.09,14.23,Electricity
2025-12-08,Dominos Pizza,Meals,66.21,8.64,Team dinner
2025-12-09,Al Baik,Meals,44.17,5.76,Lunch
2025-12-09,Extra Stores,Office Supplies,209.13,27.28,Stationery
2025-12-10,Dominos Pizza,Meals,16.32,2.13,Lunch
2025-12-10,Flynas,Travel,983.77,128.32,Bus fare
2025-12-11,Flynas XY123,Travel,615.14,80.24,Hotel stay
2025-12-11,Dunkin Donuts,Meals,39.06,5.09,Coffee
2025-12-12,Panda Supermarket,Office Supplies,52.46,6.84,Office equipment
2025-12-12,SAPTCO,Travel,418.11,54.54,Bus fare
2025-12-13,Flynas,Travel,1213.59,158.29,Bus fare
2025-12-13,Uber * Trip 999A,Transport,99.63,13.0,Uber ride
2025-12-14,STC Pay * Recharge,Utilities,177.53,23.16,Water
2025-12-14,SAPTCO,Travel,1393.73,181.79,Train ticket
2025-12-15,Al Baik,Meals,37.15,4.85,Lunch
2025-12-15,Uber * Trip 284J,Transport,94.97,12.39,Taxi to meeting
2025-12-16,HungerStation * BurgerKi,Meals,41.61,5.43,Team dinner
2025-12-16,Jarir Book,Office Supplies,244.78,31.93,Office equipment
2025-12-17,Jarir Bookstore,Office Supplies,195.14,25.45,Ink cartridges
2025-12-17,Flynas XY123,Travel,1125.59,146.82,Bus fare
2025-12-18,Jarir Book,Office Supplies,52.09,6.79,Ink cartridges
2025-12-18,Uber,Transport,90.8,11.84,Careem to office
2025-12-19,Jarir Bookstore,Office Supplies,268.31,35.0,Office equipment
2025-12-19,HungerStation * BurgerKi,Meals,23.15,3.02,Team dinner
2025-12-20,Panda Supermarket,Office Supplies,288.34,37.61,Paper
2025-12-20,Saudi Airlines,Travel,1392.04,181.57,Flight booking
2025-12-21,Al Baik,Meals,75.97,9.91,Lunch
2025-12-21,Saudi Airlines,Travel,686.4,89.53,Train ticket
2025-12-22,Careem,Transport,70.95,9.25,Careem to office
2025-12-22,Careem,Transport,46.2,6.03,Ride to airport
2025-12-23,Jarir Bookstore,Office Supplies,128.16,16.72,Office equipment
2025-12-23,SAPTCO,Travel,1451.53,189.33,Flight booking
2025-12-24,Flynas,Travel,930.12,121.32,Hotel stay
2025-12-24,Uber * Trip 999A,Transport,68.57,8.94,Ride to airport
2025-12-25,Hilton Riyadh Hotel,Travel,400.84,52.28,Bus fare
